gates_id_pre_sanitize,source_id,component_id,centroid_local_xy,centroid_source_xy,longitude,latitude,nearest_named_location,nearest_location_dist_px,country_sea_region_guess,area,vertex_count,rectangularity,neighbor_count,source_terrain_id,source_continent_id,source_is_water,source_ring_vertex_count,screenshot_filename,proposed_action,evidence,confidence,owner_ruling,review_bucket,previous_generic_reason,owner_review_status
e3_0829,829,L001,"[1155.74, 1906.45]","[8231.74, 2048.45]",-13.1403,44.5074,Bournemouth,17.8,other,1355.0,109,0.533,6,1,2,False,109,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Bournemouth 17.8px lon/lat -13.1403,44.5074",medium,pending,restore_legitimate,"No proven defect; nearest Bournemouth 17.8px lon/lat -13.1403,44.5074",proposed
e3_0833,833,L001,"[1181.45, 1852.81]","[8257.45, 1994.81]",-12.6192,45.5677,Swindon,5.8,other,947.5,73,0.5926,7,4,2,False,73,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Swindon 5.8px lon/lat -12.6192,45.5677",medium,pending,restore_legitimate,"No proven defect; nearest Swindon 5.8px lon/lat -12.6192,45.5677",proposed
e3_0834,834,L001,"[1284.93, 1894.41]","[8360.93, 2036.41]",-10.5217,44.7454,Brighton,21.9,other,1091.0,83,0.5374,5,1,2,False,83,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Brighton 21.9px lon/lat -10.5217,44.7454",medium,pending,restore_legitimate,"No proven defect; nearest Brighton 21.9px lon/lat -10.5217,44.7454",proposed
e3_0835,835,L001,"[1204.48, 1902.6]","[8280.48, 2044.6]",-12.1524,44.5834,Southampton,9.0,other,1206.5,129,0.5484,5,1,2,False,129,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Southampton 9.0px lon/lat -12.1524,44.5834",medium,pending,restore_legitimate,"No proven defect; nearest Southampton 9.0px lon/lat -12.1524,44.5834",proposed
e3_0836,836,L001,"[1115.87, 1884.23]","[8191.87, 2026.23]",-13.9486,44.9466,Taunton,5.6,other,1290.5,105,0.4629,5,1,2,False,105,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Taunton 5.6px lon/lat -13.9486,44.9466",medium,pending,restore_legitimate,"No proven defect; nearest Taunton 5.6px lon/lat -13.9486,44.9466",proposed
e3_0837,837,L001,"[1257.14, 1869.79]","[8333.14, 2011.79]",-11.0849,45.2321,Crawley,8.7,other,848.0,76,0.4874,7,1,2,False,76,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Crawley 8.7px lon/lat -11.0849,45.2321",medium,pending,restore_legitimate,"No proven defect; nearest Crawley 8.7px lon/lat -11.0849,45.2321",proposed
e3_0838,838,L001,"[1319.35, 1879.91]","[8395.35, 2021.91]",-9.8241,45.0319,Canterbury,11.2,other,1015.0,81,0.4951,5,1,2,False,81,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Canterbury 11.2px lon/lat -9.8241,45.0319",medium,pending,restore_legitimate,"No proven defect; nearest Canterbury 11.2px lon/lat -9.8241,45.0319",proposed
e3_0839,839,L001,"[1151.7, 1833.86]","[8227.7, 1975.86]",-13.2224,45.9423,Bristol,15.6,other,907.0,92,0.5477,7,4,2,False,92,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Bristol 15.6px lon/lat -13.2224,45.9423",medium,pending,restore_legitimate,"No proven defect; nearest Bristol 15.6px lon/lat -13.2224,45.9423",proposed
e3_0840,840,L001,"[1191.59, 1785.28]","[8267.59, 1927.28]",-12.4138,46.9026,Coventry,7.1,other,1201.5,114,0.5646,7,4,2,False,114,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Coventry 7.1px lon/lat -12.4138,46.9026",medium,pending,restore_legitimate,"No proven defect; nearest Coventry 7.1px lon/lat -12.4138,46.9026",proposed
e3_0841,841,L001,"[1298.22, 1840.68]","[8374.22, 1982.68]",-10.2523,45.8075,Southend on Sea,7.9,other,789.5,87,0.4984,6,1,2,False,87,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Southend on Sea 7.9px lon/lat -10.2523,45.8075",medium,pending,restore_legitimate,"No proven defect; nearest Southend on Sea 7.9px lon/lat -10.2523,45.8075",proposed
e3_0842,842,L001,"[1326.27, 1809.42]","[8402.27, 1951.42]",-9.6838,46.4254,Ipswich,3.6,other,533.0,64,0.6002,4,1,2,False,64,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Ipswich 3.6px lon/lat -9.6838,46.4254",medium,pending,restore_legitimate,"No proven defect; nearest Ipswich 3.6px lon/lat -9.6838,46.4254",proposed
e3_0843,843,L001,"[1221.81, 1850.41]","[8297.81, 1992.41]",-11.8012,45.6152,Reading,4.7,other,868.0,88,0.4728,7,1,2,False,88,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Reading 4.7px lon/lat -11.8012,45.6152",medium,pending,restore_legitimate,"No proven defect; nearest Reading 4.7px lon/lat -11.8012,45.6152",proposed
e3_0844,844,L001,"[1221.86, 1756.67]","[8297.86, 1898.67]",-11.8001,47.4682,Leicester,9.0,other,1394.5,100,0.4924,6,4,2,False,100,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Leicester 9.0px lon/lat -11.8001,47.4682",medium,pending,restore_legitimate,"No proven defect; nearest Leicester 9.0px lon/lat -11.8001,47.4682",proposed
e3_0845,845,L001,"[1256.69, 1737.56]","[8332.69, 1879.56]",-11.0941,47.8459,Boston,9.3,other,1493.0,91,0.5742,8,4,2,False,91,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Boston 9.3px lon/lat -11.0941,47.8459",medium,pending,restore_legitimate,"No proven defect; nearest Boston 9.3px lon/lat -11.0941,47.8459",proposed
e3_0846,846,L001,"[1270.98, 1713.16]","[8346.98, 1855.16]",-10.8044,48.3283,Skegness,13.8,other,948.0,64,0.567,4,1,2,False,64,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Skegness 13.8px lon/lat -10.8044,48.3283",medium,pending,restore_legitimate,"No proven defect; nearest Skegness 13.8px lon/lat -10.8044,48.3283",proposed
e3_0847,847,L001,"[1250.33, 1770.05]","[8326.33, 1912.05]",-11.2231,47.2036,Peterborough,8.3,other,500.5,55,0.4461,5,4,2,False,55,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Peterborough 8.3px lon/lat -11.2231,47.2036",medium,pending,restore_legitimate,"No proven defect; nearest Peterborough 8.3px lon/lat -11.2231,47.2036",proposed
e3_0848,848,L001,"[1274.74, 1787.19]","[8350.74, 1929.19]",-10.7283,46.8649,Cambridge,6.9,other,1476.5,122,0.5511,8,4,2,False,122,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Cambridge 6.9px lon/lat -10.7283,46.8649",medium,pending,restore_legitimate,"No proven defect; nearest Cambridge 6.9px lon/lat -10.7283,46.8649",proposed
e3_0849,849,L001,"[1254.19, 1831.82]","[8330.19, 1973.82]",-11.1449,45.9826,Luton,10.3,other,1243.0,102,0.4741,6,1,2,False,102,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Luton 10.3px lon/lat -11.1449,45.9826",medium,pending,restore_legitimate,"No proven defect; nearest Luton 10.3px lon/lat -11.1449,45.9826",proposed
e3_0850,850,L001,"[1170.3, 1791.52]","[8246.3, 1933.52]",-12.8453,46.7793,Birmingham,15.0,other,880.5,97,0.5469,6,4,2,False,97,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Birmingham 15.0px lon/lat -12.8453,46.7793",medium,pending,restore_legitimate,"No proven defect; nearest Birmingham 15.0px lon/lat -12.8453,46.7793",proposed
e3_0851,851,L001,"[1130.52, 1714.99]","[8206.52, 1856.99]",-13.6516,48.2922,Chester,2.5,other,653.0,67,0.4651,5,1,2,False,67,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Chester 2.5px lon/lat -13.6516,48.2922",medium,pending,restore_legitimate,"No proven defect; nearest Chester 2.5px lon/lat -13.6516,48.2922",proposed
e3_0852,852,L001,"[1130.09, 1685.26]","[8206.09, 1827.26]",-13.6604,48.8798,Liverpool,12.1,other,687.0,70,0.6543,6,1,2,False,70,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Liverpool 12.1px lon/lat -13.6604,48.8798",medium,pending,restore_legitimate,"No proven defect; nearest Liverpool 12.1px lon/lat -13.6604,48.8798",proposed
e3_0853,853,L001,"[1134.09, 1620.68]","[8210.09, 1762.68]",-13.5792,50.1563,Kendal,2.3,other,1652.0,129,0.4836,7,1,2,False,129,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Kendal 2.3px lon/lat -13.5792,50.1563",medium,pending,restore_legitimate,"No proven defect; nearest Kendal 2.3px lon/lat -13.5792,50.1563",proposed
e3_0854,854,L001,"[1112.19, 1602.36]","[8188.19, 1744.36]",-14.0232,50.5184,Whitehaven,15.7,other,1347.0,91,0.4607,5,1,2,False,91,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Whitehaven 15.7px lon/lat -14.0232,50.5184",medium,pending,restore_legitimate,"No proven defect; nearest Whitehaven 15.7px lon/lat -14.0232,50.5184",proposed
e3_0855,855,L001,"[1185.19, 1591.72]","[8261.19, 1733.72]",-12.5434,50.7287,Durham,7.5,other,1267.0,83,0.6033,7,1,2,False,83,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Durham 7.5px lon/lat -12.5434,50.7287",medium,pending,restore_legitimate,"No proven defect; nearest Durham 7.5px lon/lat -12.5434,50.7287",proposed
e3_0856,856,L001,"[1175.05, 1521.32]","[8251.05, 1663.32]",-12.7491,52.1204,Alnwick,15.4,other,1041.0,87,0.5169,5,4,2,False,87,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Alnwick 15.4px lon/lat -12.7491,52.1204",medium,pending,restore_legitimate,"No proven defect; nearest Alnwick 15.4px lon/lat -12.7491,52.1204",proposed
e3_0857,857,L001,"[1138.84, 1574.31]","[8214.84, 1716.31]",-13.483,51.073,Carlisle,8.9,other,1172.5,68,0.6857,5,1,2,False,68,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Carlisle 8.9px lon/lat -13.483,51.073",medium,pending,restore_legitimate,"No proven defect; nearest Carlisle 8.9px lon/lat -13.483,51.073",proposed
e3_0858,858,L001,"[1138.2, 1759.44]","[8214.2, 1901.44]",-13.4959,47.4134,Telford,7.2,other,1856.0,120,0.6645,8,4,2,False,120,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Telford 7.2px lon/lat -13.4959,47.4134",medium,pending,restore_legitimate,"No proven defect; nearest Telford 7.2px lon/lat -13.4959,47.4134",proposed
e3_0859,859,L001,"[1222.88, 1719.37]","[8298.88, 1861.37]",-11.7794,48.2054,Nottingham,17.1,other,1144.0,86,0.5801,5,1,2,False,86,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Nottingham 17.1px lon/lat -11.7794,48.2054",medium,pending,restore_legitimate,"No proven defect; nearest Nottingham 17.1px lon/lat -11.7794,48.2054",proposed
e3_0860,860,L001,"[1192.46, 1724.74]","[8268.46, 1866.74]",-12.396,48.0994,Derby,14.4,other,1351.0,114,0.4652,6,4,2,False,114,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Derby 14.4px lon/lat -12.396,48.0994",medium,pending,restore_legitimate,"No proven defect; nearest Derby 14.4px lon/lat -12.396,48.0994",proposed
e3_0861,861,L001,"[1170.75, 1748.16]","[8246.75, 1890.16]",-12.8361,47.6364,Stafford,11.4,other,1571.0,113,0.5579,5,4,2,False,113,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Stafford 11.4px lon/lat -12.8361,47.6364",medium,pending,restore_legitimate,"No proven defect; nearest Stafford 11.4px lon/lat -12.8361,47.6364",proposed
e3_0862,862,L001,"[1204.09, 1686.98]","[8280.09, 1828.98]",-12.1604,48.8457,Sheffield,15.3,other,1461.5,101,0.557,7,1,2,False,101,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Sheffield 15.3px lon/lat -12.1604,48.8457",medium,pending,restore_legitimate,"No proven defect; nearest Sheffield 15.3px lon/lat -12.1604,48.8457",proposed
e3_0863,863,L001,"[1249.38, 1659.72]","[8325.38, 1801.72]",-11.2423,49.3847,Hull,9.6,other,1835.0,116,0.541,6,1,2,False,116,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Hull 9.6px lon/lat -11.2423,49.3847",medium,pending,restore_legitimate,"No proven defect; nearest Hull 9.6px lon/lat -11.2423,49.3847",proposed
e3_0864,864,L001,"[1215.75, 1635.9]","[8291.75, 1777.9]",-11.924,49.8555,York,13.1,other,795.5,68,0.4454,5,1,2,False,68,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest York 13.1px lon/lat -11.924,49.8555",medium,pending,restore_legitimate,"No proven defect; nearest York 13.1px lon/lat -11.924,49.8555",proposed
e3_0865,865,L001,"[1194.92, 1662.34]","[8270.92, 1804.34]",-12.3461,49.3329,Leeds,1.3,other,1129.0,80,0.48,6,1,2,False,80,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Leeds 1.3px lon/lat -12.3461,49.3329",medium,pending,restore_legitimate,"No proven defect; nearest Leeds 1.3px lon/lat -12.3461,49.3329",proposed
e3_0866,866,L001,"[1063.92, 1820.24]","[8139.92, 1962.24]",-15.0016,46.2114,Carmarthen,9.7,other,1229.5,90,0.5589,5,4,2,False,90,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Carmarthen 9.7px lon/lat -15.0016,46.2114",medium,pending,restore_legitimate,"No proven defect; nearest Carmarthen 9.7px lon/lat -15.0016,46.2114",proposed
e3_0867,867,L001,"[1102.34, 1846.14]","[8178.34, 1988.14]",-14.2229,45.6996,Bridgend,6.6,other,609.5,65,0.5012,5,5,2,False,65,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Bridgend 6.6px lon/lat -14.2229,45.6996",medium,pending,restore_legitimate,"No proven defect; nearest Bridgend 6.6px lon/lat -14.2229,45.6996",proposed
e3_0868,868,L001,"[1126.92, 1844.13]","[8202.92, 1986.13]",-13.7245,45.7392,Cwmbran,10.7,other,438.5,53,0.435,5,5,2,False,53,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Cwmbran 10.7px lon/lat -13.7245,45.7392",medium,pending,restore_legitimate,"No proven defect; nearest Cwmbran 10.7px lon/lat -13.7245,45.7392",proposed
e3_0869,869,L001,"[1029.31, 1824.16]","[8105.31, 1966.16]",-15.7033,46.1341,Milford Haven,10.7,other,877.0,108,0.4856,4,5,2,False,108,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Milford Haven 10.7px lon/lat -15.7033,46.1341",medium,pending,restore_legitimate,"No proven defect; nearest Milford Haven 10.7px lon/lat -15.7033,46.1341",proposed
e3_0870,870,L001,"[1100.94, 1813.37]","[8176.94, 1955.37]",-14.2512,46.3473,Brecon,4.8,other,718.5,67,0.4976,7,4,2,False,67,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Brecon 4.8px lon/lat -14.2512,46.3473",medium,pending,restore_legitimate,"No proven defect; nearest Brecon 4.8px lon/lat -14.2512,46.3473",proposed
e3_0871,871,L001,"[1070.66, 1791.27]","[8146.66, 1933.27]",-14.8651,46.7843,Aberystwyth,12.3,other,936.0,90,0.416,7,5,2,False,90,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Aberystwyth 12.3px lon/lat -14.8651,46.7843",medium,pending,restore_legitimate,"No proven defect; nearest Aberystwyth 12.3px lon/lat -14.8651,46.7843",proposed
e3_0872,872,L001,"[1113.28, 1725.26]","[8189.28, 1867.26]",-14.0011,48.0891,Wrexham,9.9,other,925.0,86,0.5378,6,4,2,False,86,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Wrexham 9.9px lon/lat -14.0011,48.0891",medium,pending,restore_legitimate,"No proven defect; nearest Wrexham 9.9px lon/lat -14.0011,48.0891",proposed
e3_0873,873,L001,"[1057.91, 1737.08]","[8133.91, 1879.08]",-15.1235,47.8554,Pwllheli,12.1,other,594.5,75,0.3909,5,5,2,False,75,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Pwllheli 12.1px lon/lat -15.1235,47.8554",medium,pending,restore_legitimate,"No proven defect; nearest Pwllheli 12.1px lon/lat -15.1235,47.8554",proposed
e3_0874,874,L001,"[1087.37, 1719.44]","[8163.37, 1861.44]",-14.5263,48.2042,Conwy,10.0,other,632.5,62,0.6845,4,5,2,False,62,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Conwy 10.0px lon/lat -14.5263,48.2042",medium,pending,restore_legitimate,"No proven defect; nearest Conwy 10.0px lon/lat -14.5263,48.2042",proposed
e3_0875,875,L001,"[1103.19, 1759.09]","[8179.19, 1901.09]",-14.2055,47.4203,Welshpool,12.9,other,856.0,77,0.5141,5,5,2,False,77,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Welshpool 12.9px lon/lat -14.2055,47.4203",medium,pending,restore_legitimate,"No proven defect; nearest Welshpool 12.9px lon/lat -14.2055,47.4203",proposed
e3_0876,876,L001,"[1103.48, 1787.28]","[8179.48, 1929.28]",-14.1998,46.8631,Rhayader,4.5,other,1075.0,82,0.527,5,5,2,False,82,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Rhayader 4.5px lon/lat -14.1998,46.8631",medium,pending,restore_legitimate,"No proven defect; nearest Rhayader 4.5px lon/lat -14.1998,46.8631",proposed
e3_0877,877,L001,"[1340.42, 1761.53]","[8416.42, 1903.53]",-9.3969,47.372,Norwich,7.4,other,679.0,43,0.643,4,1,2,False,43,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Norwich 7.4px lon/lat -9.3969,47.372",medium,pending,restore_legitimate,"No proven defect; nearest Norwich 7.4px lon/lat -9.3969,47.372",proposed
e3_0878,878,L001,"[1176.36, 1616.22]","[8252.36, 1758.22]",-12.7224,50.2444,Bedale,9.9,other,1123.0,94,0.533,5,1,2,False,94,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Bedale 9.9px lon/lat -12.7224,50.2444",medium,pending,restore_legitimate,"No proven defect; nearest Bedale 9.9px lon/lat -12.7224,50.2444",proposed
e3_0879,879,L001,"[1108.05, 1907.77]","[8184.05, 2049.77]",-14.1071,44.4814,Exeter,8.4,other,564.0,60,0.5444,5,1,2,False,60,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Exeter 8.4px lon/lat -14.1071,44.4814",medium,pending,restore_legitimate,"No proven defect; nearest Exeter 8.4px lon/lat -14.1071,44.4814",proposed
e3_0880,880,L001,"[1078.51, 1840.82]","[8154.51, 1982.82]",-14.7058,45.8047,Swansea,1.7,other,501.0,68,0.5493,4,5,2,False,68,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Swansea 1.7px lon/lat -14.7058,45.8047",medium,pending,restore_legitimate,"No proven defect; nearest Swansea 1.7px lon/lat -14.7058,45.8047",proposed
e3_0881,881,L001,"[1155.87, 1686.2]","[8231.87, 1828.2]",-13.1378,48.8612,Manchester,7.1,other,761.5,61,0.6237,5,1,2,False,61,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Manchester 7.1px lon/lat -13.1378,48.8612",medium,pending,restore_legitimate,"No proven defect; nearest Manchester 7.1px lon/lat -13.1378,48.8612",proposed
e3_0884,884,L001,"[1042.23, 1546.81]","[8118.23, 1688.81]",-15.4412,51.6165,Girvan,6.2,other,610.0,64,0.5277,4,4,2,False,64,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Girvan 6.2px lon/lat -15.4412,51.6165",medium,pending,restore_legitimate,"No proven defect; nearest Girvan 6.2px lon/lat -15.4412,51.6165",proposed
e3_0885,885,L001,"[1155.23, 1397.56]","[8231.23, 1539.56]",-13.1508,54.5668,Stonehaven,5.4,other,608.5,66,0.5122,4,5,2,False,66,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Stonehaven 5.4px lon/lat -13.1508,54.5668",medium,pending,restore_legitimate,"No proven defect; nearest Stonehaven 5.4px lon/lat -13.1508,54.5668",proposed
e3_0886,886,L001,"[1146.89, 1521.92]","[8222.89, 1663.92]",-13.3198,52.1086,Jedburgh,8.1,other,720.5,73,0.4636,5,8,2,False,73,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Jedburgh 8.1px lon/lat -13.3198,52.1086",medium,pending,restore_legitimate,"No proven defect; nearest Jedburgh 8.1px lon/lat -13.3198,52.1086",proposed
e3_0887,887,L001,"[1123.75, 1544.76]","[8199.75, 1686.76]",-13.7889,51.657,Gretna Green,20.4,other,780.0,59,0.5353,6,8,2,False,59,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Gretna Green 20.4px lon/lat -13.7889,51.657",medium,pending,restore_legitimate,"No proven defect; nearest Gretna Green 20.4px lon/lat -13.7889,51.657",proposed
e3_0888,888,L001,"[1036.87, 1577.29]","[8112.87, 1719.29]",-15.5499,51.014,Stranraer,10.4,other,933.0,107,0.5418,6,4,2,False,107,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Stranraer 10.4px lon/lat -15.5499,51.014",medium,pending,restore_legitimate,"No proven defect; nearest Stranraer 10.4px lon/lat -15.5499,51.014",proposed
e3_0889,889,L001,"[1088.05, 1567.1]","[8164.05, 1709.1]",-14.5125,51.2156,Dumfries,6.4,other,440.0,42,0.5867,5,5,2,False,42,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Dumfries 6.4px lon/lat -14.5125,51.2156",medium,pending,restore_legitimate,"No proven defect; nearest Dumfries 6.4px lon/lat -14.5125,51.2156",proposed
e3_0890,890,L001,"[1144.82, 1494.29]","[8220.82, 1636.29]",-13.3618,52.6547,North Berwick,18.5,other,1075.0,93,0.5319,5,4,2,False,93,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest North Berwick 18.5px lon/lat -13.3618,52.6547",medium,pending,restore_legitimate,"No proven defect; nearest North Berwick 18.5px lon/lat -13.3618,52.6547",proposed
e3_0891,891,L001,"[1100.02, 1489.46]","[8176.02, 1631.46]",-14.2699,52.7502,Edinburgh,13.7,other,542.5,52,0.5771,5,4,2,False,52,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Edinburgh 13.7px lon/lat -14.2699,52.7502",medium,pending,restore_legitimate,"No proven defect; nearest Edinburgh 13.7px lon/lat -14.2699,52.7502",proposed
e3_0892,892,L001,"[1116.73, 1511.24]","[8192.73, 1653.24]",-13.9311,52.3197,Galashiels,11.9,other,1157.0,97,0.5739,6,4,2,False,97,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Galashiels 11.9px lon/lat -13.9311,52.3197",medium,pending,restore_legitimate,"No proven defect; nearest Galashiels 11.9px lon/lat -13.9311,52.3197",proposed
e3_0893,893,L001,"[1050.31, 1488.82]","[8126.31, 1630.82]",-15.2774,52.7629,Glasgow,9.9,other,747.5,83,0.584,5,4,2,False,83,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Glasgow 9.9px lon/lat -15.2774,52.7629",medium,pending,restore_legitimate,"No proven defect; nearest Glasgow 9.9px lon/lat -15.2774,52.7629",proposed
e3_0894,894,L001,"[1083.52, 1510.08]","[8159.52, 1652.08]",-14.6043,52.3427,Wishaw,12.4,other,1163.0,92,0.5225,7,4,2,False,92,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Wishaw 12.4px lon/lat -14.6043,52.3427",medium,pending,restore_legitimate,"No proven defect; nearest Wishaw 12.4px lon/lat -14.6043,52.3427",proposed
